Starting to collect Vector measurements
Timer: Vector measurements completed in 637.384 (seconds)

Starting to collect Doubly Linked List measurements
Timer: Doubly Linked List measurements completed in 293.792 (seconds)

Starting to collect Singly Linked List measurements
Timer: Singly Linked List measurements completed in 479.082 (seconds)

Starting to collect Binary Search Tree measurements
Timer: Binary Search Tree measurements completed in 0.535571 (seconds)

Starting to collect Hash Table measurements
Timer: Hash Table measurements completed in 0.293831 (seconds)
Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
53000	73	21	0	83	1	0	0	711036	2	0	0	157128	0	171869	8	711822	6	451839	0	402560	695852
53250	69	30	0	0	0	0	0	726213	14	0	0	152378	1	154997	0	718722	7	438510	0	408409	692355
53500	89	41	0	0	0	0	0	718339	2	0	0	172108	0	158430	0	719640	7	447441	0	409298	695618
53750	110	16	0	0	2	0	0	717247	2	0	0	153985	0	155276	0	730487	7	450507	0	410216	701136
54000	72	23	0	0	0	0	0	727838	1	0	0	154235	1	156288	0	734289	6	450533	0	412329	816720
54250	92	24	0	0	1	0	0	729433	0	0	0	160099	2	163242	0	732288	7	459215	0	416086	707910
54500	77	52	0	0	0	0	0	738031	3	0	0	157449	1	164127	0	727360	7	448497	0	419042	705623
54750	82	23	0	0	1	0	0	739189	13	0	0	152780	0	175079	0	732700	6	457810	0	419788	714219
55000	103	29	0	0	9	0	0	737598	3	0	0	176333	1	164474	0	737758	10	451906	0	526530	721605
55250	80	36	0	0	1	0	0	744388	5	0	0	157228	10	163307	0	743844	6	462392	0	427518	720038
55500	83	78	19	0	1	0	0	748685	3	0	0	159369	2	168721	0	746156	6	458396	0	428873	722753
55750	69	36	0	0	0	0	0	748719	2	0	0	162634	1	167297	0	747026	17	468467	0	429971	724387
56000	96	31	0	0	0	0	0	759542	3	0	0	167439	1	196022	0	756622	6	461639	0	429473	732743
56250	78	52	0	0	0	0	0	754519	13	0	0	164222	1	171289	0	753827	8	468467	0	432153	729469
56500	73	74	21	0	0	0	0	753875	3	0	0	186444	0	176152	0	757825	6	471990	0	434181	736673
56750	123	197	0	0	0	0	0	768183	2	0	0	166508	1	172256	0	762600	7	468921	0	439718	739320
